nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean,profissao,tipo_profissao,primeiro_nome,sobrenome
Rua Sem Denominação   82 1,700120,2,0,0,0,0,0,1,0,46,4.3478260869565215,0,0,0,4.3478260869565215,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   83 1,700121,2,0,0,0,0,0,1,0,50,4,0,0,0,4,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   84 1,700122,2,0,0,0,0,0,1,0,38,5.263157894736842,0,0,0,5.263157894736842,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   84 3,520605,9,0,0,0,0,0,3,0,173,4.285714285714286,0,0,0,7.079365079365079,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   85 1,20702,0,0,0,0,0,0,1,0,289,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   85 5,700128,8,0,0,0,0,0,4,0,272,3.3692350179508423,0,0,0,3.314697926276008,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   86 1,20745,0,0,0,0,0,0,1,0,120,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   86 6,700129,76,0,0,0,0,0,49,0,5588,1.9047619047619049,0,0,0,2.2378395063755567,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   87 1,700132,1,0,0,0,0,0,1,0,331,0.3021148036253776,0,0,0,0.3021148036253776,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   87 4,700010,8,0,1,0,0,0,5,0,306,2.3529411764705883,0,0,0,2.8320587060195166,0,0,0.273972602739726,NA,NA,NA,NA
Rua Sem Denominação   88 1,21016,4,0,0,0,0,0,3,0,127,2.7027027027027026,0,0,0,5.279090532918091,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   88 2,700136,5,0,0,0,0,0,2,0,178,2.5432900432900434,0,0,0,2.5432900432900434,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   89 1,700137,1,0,0,0,0,0,1,0,45,2.2222222222222223,0,0,0,2.2222222222222223,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   91 1,700142,1,0,0,0,0,0,1,0,196,0.5102040816326531,0,0,0,0.5102040816326531,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   92 1,700144,2,0,1,0,0,0,1,0,57,3.508771929824561,0,0,1.7543859649122806,3.508771929824561,0,0,1.7543859649122806,NA,NA,NA,NA
Rua Sem Denominação   93 1,700145,3,0,0,0,0,0,2,0,76,3.9230769230769234,0,0,0,3.9230769230769234,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   94 1,15814,4,0,0,0,0,0,2,0,176,2.2739018087855296,0,0,0,2.2739018087855296,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   95 1,700154,1,0,0,0,0,0,1,0,37,2.7027027027027026,0,0,0,2.7027027027027026,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   97 1,700158,2,0,0,0,0,0,1,0,126,1.5873015873015872,0,0,0,1.5873015873015872,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   98 1,700160,1,0,0,0,0,0,1,0,54,1.8518518518518516,0,0,0,1.8518518518518516,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   99 1,700162,1,0,0,0,0,0,1,0,114,0.8771929824561403,0,0,0,0.8771929824561403,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  100 1,25534,1,0,0,0,0,0,1,0,47,2.127659574468085,0,0,0,2.127659574468085,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  101 1,700164,3,0,0,0,0,0,2,0,79,3.746498599439776,0,0,0,3.746498599439776,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  102 1,700166,3,0,0,0,0,0,1,0,69,4.3478260869565215,0,0,0,4.3478260869565215,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  103 2,7277,8,0,0,0,0,0,2,0,95,10.590858416945373,0,0,0,10.590858416945373,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  104 1,7250,4,0,0,0,0,0,1,0,75,5.333333333333334,0,0,0,5.333333333333334,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  105 1,7285,3,0,0,0,0,0,2,0,74,4.26774483378257,0,0,0,4.26774483378257,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  106 1,5154,2,0,0,0,0,0,1,0,74,2.7027027027027026,0,0,0,2.7027027027027026,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  107 1,5177,2,0,0,0,0,0,1,0,72,2.7777777777777777,0,0,0,2.7777777777777777,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  108 1,5185,1,0,0,0,0,0,1,0,54,1.8518518518518516,0,0,0,1.8518518518518516,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  109 1,5428,2,0,0,0,0,0,1,0,85,2.3529411764705883,0,0,0,2.3529411764705883,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  110 1,5436,2,0,0,0,0,0,1,0,70,2.857142857142857,0,0,0,2.857142857142857,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  111 1,5169,2,0,0,0,0,0,2,0,133,1.510676965015902,0,0,0,1.510676965015902,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  112 1,700167,1,0,0,0,0,0,1,0,23,4.3478260869565215,0,0,0,4.3478260869565215,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  113 1,700134,1,0,0,0,0,0,1,0,107,0.9345794392523363,0,0,0,0.9345794392523363,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  113 1,700168,1,0,0,0,0,0,1,0,19,5.263157894736842,0,0,0,5.263157894736842,0,0,0,NA,NA,NA,NA
